name,artists,album,duration,explicit,popularity,preview_url,uri
Black Hole,Griff,Black Hole,200523,false,60,https://p.scdn.co/mp3-preview/ad960011900cd757b5012f24bbf39f0ab95a343c?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6xw8ld1ztoCKifwTN6uGDq
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",Leave Before You Love Me,154983,false,84,,spotify:track:4qu63nuBpdn0qHUHuObEj1
Goosebumps,HVME,Goosebumps,163208,true,74,https://p.scdn.co/mp3-preview/98c658b799ad891da522654f1820ee3687c71b8c?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:20McUFi8KCIVdNDLrkTDuZ
The Business,Tiësto,The Business,164000,false,82,https://p.scdn.co/mp3-preview/e516723e41dab08c241fc981aeed21407f322d72?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6f3Slt0GbA2bPZlz0aIFXN
My Love,"Justin Timberlake, T.I.",FutureSex/LoveSounds,276160,false,0,,spotify:track:0gs72Zn1Nxin1kvKpo9ee5
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,448573,false,73,https://p.scdn.co/mp3-preview/6288521777e9d6f237b311484806e1522ac32c8d?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:3pD0f7hSJg2XdQ6udw5Tey
Something Stupid (feat. AWA),"Jonas Blue, AWA",Something Stupid (feat. AWA),176734,false,56,,spotify:track:2UCu2FoXFZpCT36lYzej4O
Cry Me a River,Justin Timberlake,Justified,288333,false,75,https://p.scdn.co/mp3-preview/6d55ea590f690f42992ab1a91aea064d0d334d73?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5
7 Days,Craig David,Rewind - The Collection,237373,false,51,https://p.scdn.co/mp3-preview/5310a9b5d267f92169c109b4ac4477e570e47040?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:49eAIPivcw5idA57ZWnp5h
Could You Be Loved,Bob Marley & The Wailers,Uprising,237000,false,0,,spotify:track:61dXuN3VyqGOyOeMfJXIPh
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,269666,true,83,https://p.scdn.co/mp3-preview/3074e956e6794c0eadea660b9cef671db6b27234?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:32OlwWuMpZ6b0aN2RZOeMS
Where Is The Love?,Black Eyed Peas,Elephunk,272533,false,1,,spotify:track:7oPnZNl1acGA7ELxsNirrR
Black & Gold - Radio Edit,Sam Sparro,Black & Gold (International),211266,false,0,,spotify:track:3QI96xFA7pHph2AwHu3rYT
Miami,Will Smith,Big Willie Style,197560,false,72,https://p.scdn.co/mp3-preview/4c06f85cf92c5cb64ea1da5fa33be3f8b285b39d?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6e8Ou0wiqAzIpWb2eSxll8
Just A Lil Bit,50 Cent,The Massacre,237706,true,0,,spotify:track:0x7U32vZzq7e1qVpA0MBwK
The Next Episode,"Dr. Dre, Snoop Dogg",2001 (Explicit Version),161600,true,0,,spotify:track:20LxTsa6936zOlzTWqoPVt
Without Me,Eminem,The Eminem Show,290226,true,0,,spotify:track:06wOQGz4bGB7HETrIjpIep
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),214846,false,88,https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7ef4DlsgrMEH11cDZd32M6
Maybe Tomorrow,Stereophonics,You Gotta Go There To Come Back,272946,false,67,,spotify:track:6SXy02aTZU3ysoGUixYCz0
Brighter,RÜFÜS DU SOL,Bloom,281084,false,58,https://p.scdn.co/mp3-preview/63542fc92640eb92bb8803e3d2b8aba0dd34dcb1?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7D5gkUVhkLbe5e8qG1NqcZ
Chain My Heart,"Topic, Bebe Rexha",Chain My Heart,146880,false,69,,spotify:track:67lbzVADsqJJ6tyVk0XCgn
Man O To,Nu,Man O To,222249,false,50,https://p.scdn.co/mp3-preview/c4a1e3e7bf7604fbbf2af4fed05c8eae2077750f?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6iKvgAl0uHqUrSXef7YccS
Familiar,"Liam Payne, J Balvin",Familiar,196552,false,58,,spotify:track:0Y4hwUppbGc8aIBmiTz30A
Benediction,Hot Natured,Different Sides Of The Sun,399310,false,56,https://p.scdn.co/mp3-preview/7fb6d0ac51ea2750ed1714c723222631628bce8b?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5RJc9Ex116Dx1zHGUOZGgX
Lady - Hear Me Tonight,Modjo,Modjo (Remastered),307153,false,78,https://p.scdn.co/mp3-preview/05e58f0bcf5a9a29f60d5aa4fd685a528a59f328?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:49X0LAl6faAusYq02PRAY6
Good Life,ZHU,GENERATIONWHY,271000,false,61,https://p.scdn.co/mp3-preview/78f1c03fae3b8b9f99a2aacb2eafcfa23b693422?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6MWYSp8nWt4IZiRMCDPHXT
I'll Bring My Love,Jutty Ranx,I'll Bring My Love,217007,false,13,https://p.scdn.co/mp3-preview/6302c02299cb015d5d3369c84a4e7993f37c179f?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:33zAbksjoRSnAW9fwuXHpU
Cake By The Ocean,DNCE,SWAAY,218440,true,0,,spotify:track:42ftjU4cTN5UTRksyqBKZJ
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,213520,false,0,,spotify:track:6RsWqX8zABZLhZydXxEFOm
Where Is The Love?,Black Eyed Peas,Where Is The Love? (International Version),273813,false,0,,spotify:track:70ATI6K6i1TXfRfID7bcN0
Hallucination,"Regard, Years & Years",Hallucination,174794,true,72,https://p.scdn.co/mp3-preview/413ab9095dfc3621f1d30688dfab3bb12ea4c270?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7y3c1oJMY1CwwtOZ84Qovu
Melody,Sigala,Melody,167142,false,71,https://p.scdn.co/mp3-preview/2b5a2af083d6eedb8fe5c3f6751d252dba53ed65?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6Owc2SuzwO3LW1SAODYK3l
When I’m Gone (with Katy Perry),"Alesso, Katy Perry",When I’m Gone (with Katy Perry),161266,false,79,,spotify:track:5902W4uHWzhtOff1UK7the
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",The Lockdown Sessions,202735,false,82,,spotify:track:6JIC3hbC28JZKZ8AlAqX8h
Want to Want Me,Jason Derulo,Everything Is 4,207719,false,75,https://p.scdn.co/mp3-preview/41c4fc0c9ed13ba61f99841cfee3182d32976686?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7oGZAicScQt96OAW4AruYy
Flames,"David Guetta, Sia",Flames,195000,false,67,https://p.scdn.co/mp3-preview/a7005ae4555ea814237078baeace5b69b89e21b3?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:33IOhptvC2Qoy2UhjiHXLV
Ocean Drive,Duke Dumont,Ocean Drive,206320,false,72,,spotify:track:0b6wdul3A5sQNpIOv03OxP
Taste (feat. Offset),"Tyga, Offset",Taste (feat. Offset),232959,true,72,https://p.scdn.co/mp3-preview/702f5e809a408eda7da72f9acc9bcaf5d3d6eb00?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:5IaHrVsrferBYDm0bDyABy
Vaina Loca,"Ozuna, Manuel Turizo",Aura,176133,false,76,https://p.scdn.co/mp3-preview/b77ccefadded2389e2aa09aeb99a82973430fa0a?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:48zFZh27QU5qsrBjn4C2FA
Better,Khalid,Suncity,229320,false,79,https://p.scdn.co/mp3-preview/53628306c2f75919230ea58eb3083adabe6a99d5?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6zeeWid2sgw4lap2jV61PZ
Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",Pray For Me (with Kendrick Lamar),211440,true,5,,spotify:track:4ofvoCdXq99vpMZO4Cfp8x
Chainsmoking,Jacob Banks,The Boy Who Cried Freedom,195132,false,41,,spotify:track:1pfzqOGRJd6DbEIFNE5G1X
Upside Down,Paloma Faith,Do You Want The Truth Or Something Beautiful?,189186,false,0,,spotify:track:7wTmnOSpVJcIzj5FIz2I04
Feel It Still,Portugal. The Man,Woodstock,163253,false,78,https://p.scdn.co/mp3-preview/47e41f47a7627e34bf34d039b32b9774b9b88768?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
Human,Rag'n'Bone Man,Human (Deluxe),200186,false,82,https://p.scdn.co/mp3-preview/8c1cad46231be436ff9e13a71f52df2135398850?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:58zsLZPvfflaiIbNWoA22O
Rollin (feat. Future & Khalid),"Calvin Harris, Future, Khalid",Rollin (feat. Future & Khalid),272666,true,61,https://p.scdn.co/mp3-preview/c16eb76ab89004032c22bdeff1000e58d8d0d08a?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:3FDrI0FLKzrYQiWxPhqV2W
Going Bad (feat. Drake),"Meek Mill, Drake",Championships,180522,true,81,https://p.scdn.co/mp3-preview/d99e58e0b5eed07a7fb99f29838dbfdd08178093?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:2IRZnDFmlqMuOrYOLnZZyc
Say Something (feat. Chris Stapleton),"Justin Timberlake, Chris Stapleton",Man of the Woods,278893,false,71,https://p.scdn.co/mp3-preview/32c1c015fdc14a2694a580b303853cfa2be6ba4f?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:1LhMopPAallLeaeNutqbgS
I Got U,"Duke Dumont, Jax Jones",I Got U,285596,false,68,,spotify:track:023H4I7HJnxRqsc9cqeFKV
Feel,Robbie Williams,Escapology,263866,false,74,,spotify:track:2Ms33RTRCT6gArrpcrPxmo
Sirens,Monolink,Sirens,217190,false,58,https://p.scdn.co/mp3-preview/ce6f6858c7dd4cb29fe5bcb4c8e7b13374b0d046?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:2Nsz5vf1G6jxQs9JdKkTaT
In the Morning,"Kaskade, ZHU",In the Morning (Remixes),247013,false,35,https://p.scdn.co/mp3-preview/c26b735ca1b9b5dbeeb174752da8ffd31fbf6b3c?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7v0umDmPFMzmkBT1uWSYIL
Hazey,Glass Animals,ZABA,265893,true,56,,spotify:track:0Zg4tjgfqw9qzq7lXX2sUM
Blind Heart - Radio Edit,"CAZZETTE, Terri B!",Blind Heart (Radio Edit),197953,false,0,,spotify:track:1UIUOVUjP05FNIABL61bCk
Sol,Alef,Sol y Luna,400865,false,48,https://p.scdn.co/mp3-preview/45debdbc0101f83f9299b303f82394c6e362a3d3?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:4FlR74PQh9SUnxDyFkoK1a
Little L,Jamiroquai,A funk odyssey,295400,false,67,https://p.scdn.co/mp3-preview/5bde50d529293245ec5ab7fe49954f135b501321?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7hhclvecTpNxNNRCk7NUoc
Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),190799,false,82,,spotify:track:6v3KW9xbzN5yKLt9YKDYA2
Ride It,Regard,Ride It,157605,false,80,https://p.scdn.co/mp3-preview/ce29bb243cf40118b87070b00a49822e09a317b1?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:2tnVG71enUj33Ic2nFN6kZ
Blinding Lights,The Weeknd,After Hours,200040,false,92,,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
Save Your Tears,The Weeknd,After Hours (Deluxe),215627,true,0,,spotify:track:1EyceZltY7ovR0tNa5D8jR
Know Your Worth,"Khalid, Disclosure",Know Your Worth,181436,false,70,https://p.scdn.co/mp3-preview/cadf00b884c08538b1e70d92d9eaab94d3e1a0e5?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:0TrPqhAMoaKUFLR7iYDokf
Watermelon Sugar,Harry Styles,Fine Line,174000,false,89,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:6UelLqGlWMcVH1E5c4H7lY
Naked,"Jonas Blue, MAX",Naked,210921,false,51,,spotify:track:2gGLpMzoo80A7jGEIr4ou8
Breaking Me,"Topic, A7S",Breaking Me,166793,false,78,,spotify:track:3H7ihDc1dqLriiWXwsc2po
Don't Rush (feat. Headie One),"Young T & Bugsey, Headie One",Plead The 5th,207826,true,54,https://p.scdn.co/mp3-preview/b96c9f700b69b683f0ef23e5ab3fbca2f042582d?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:7LRmDx4pMTQuOBBwRT1MCT
Take You Dancing,Jason Derulo,Take You Dancing,190306,false,76,https://p.scdn.co/mp3-preview/51ee929f97903b71bdb13632d1142e7272d5193b?cid=a0ff118a09f2474094e28959676d32ee,spotify:track:59qrUpoplZxbIZxk6X0Bm3
I Don't Wanna Know,Punctual,I Don’t Wanna Know,165093,false,58,,spotify:track:3gF8IZu75GhdYD4w7AFZi0
I Lost You,"Havana, Yaar",I Lost You,225558,false,0,,spotify:track:0n5BzFSjb9SJoGBBpZNLMd
